Status,Monitor,Total time (ms),Status2,Description,Step Number,Date,Time,Date_Time
Unconfirmed,Vedder,"51,121",7004,Step 11 (Save PDF): 'JE_Test_002' not found.,11,4/30/2019,19:02:00,4/30/2019 19:02
Unconfirmed,Vedder,"51,121",7004,Step 11 (Save PDF): 'JE_Test_002' not found.,11,4/30/2019,19:02:00,4/30/2019 19:02
Unconfirmed,WhiteUS,"42,644",7004,Step 11 (Save PDF): 'JE_Test_002' not found.,11,4/30/2019,19:07:00,4/30/2019 19:07
Unconfirmed,WhiteUS,"42,644",7004,Step 11 (Save PDF): 'JE_Test_002' not found.,11,4/30/2019,19:07:00,4/30/2019 19:07
Unconfirmed,Vedder,"58,819",7004,Step 11 (Save PDF): 'JE_Test_002' not found.,11,4/30/2019,19:11:00,4/30/2019 19:11
Unconfirmed,Vedder,"58,819",7004,Step 11 (Save PDF): 'JE_Test_002' not found.,11,4/30/2019,19:11:00,4/30/2019 19:11
Unconfirmed,IRIC01,"99,160",7005,"Step 9 (Open JE_Test_001): Element 'Test Fios,' not found.",9,4/30/2019,19:17:00,4/30/2019 19:17
Unconfirmed,Vedder,"43,968",7004,Step 11 (Save PDF): 'JE_Test_002' not found.,11,4/30/2019,19:26:00,4/30/2019 19:26
Unconfirmed,Vedder,"43,968",7004,Step 11 (Save PDF): 'JE_Test_002' not found.,11,4/30/2019,19:26:00,4/30/2019 19:26
Confirmed,Vedder,"58,109",7004,Step 11 (Save PDF): 'JE_Test_002' not found.,11,4/30/2019,19:28:00,4/30/2019 19:28
Confirmed,Vedder,"58,109",7004,Step 11 (Save PDF): 'JE_Test_002' not found.,11,4/30/2019,19:28:00,4/30/2019 19:28
Unconfirmed,Relate8,"43,185",7004,Step 11 (Save PDF): 'JE_Test_002' not found.,11,4/30/2019,19:39:00,4/30/2019 19:39
Unconfirmed,Coborn,"48,532",7004,Step 10 (Code and open next doc): 'destruct' not found.,10,4/30/2019,19:39:00,4/30/2019 19:39
Unconfirmed,Coborn,"48,532",7004,Step 10 (Code and open next doc): 'destruct' not found.,10,4/30/2019,19:39:00,4/30/2019 19:39
Unconfirmed,Leonard,"64,324",7004,Step 11 (Save PDF): 'JE_Test_002' not found.,11,4/30/2019,19:40:00,4/30/2019 19:40
Unconfirmed,Leonard,"64,324",7004,Step 11 (Save PDF): 'JE_Test_002' not found.,11,4/30/2019,19:40:00,4/30/2019 19:40
Unconfirmed,Vedder,"28,015",7009,Step 7 (Run reset script): Frame 'externalPage' not found.,7,4/30/2019,19:41:00,4/30/2019 19:41
Unconfirmed,Vedder,"28,015",7009,Step 7 (Run reset script): Frame 'externalPage' not found.,7,4/30/2019,19:41:00,4/30/2019 19:41
